	x_val	y_val	z_val
111	1	91	0.0
112	1	92	0.0
113	1	93	0.0
114	1	94	0.0
115	1	95	0.0
116	2	7	0.0
117	2	8	0.0
118	2	9	0.0
119	2	10	0.0
120	2	18	0.0
121	2	19	0.0
122	2	20	0.0
123	2	21	0.0
124	2	22	0.0
125	2	23	0.0
126	2	24	0.0
127	2	25	0.0
128	2	34	0.0
129	2	40	0.0
130	2	41	0.0
131	2	42	0.0
132	2	43	0.0
133	2	44	0.0
134	2	45	0.0
135	2	46	0.0
136	2	47	0.0
137	2	48	0.0
138	2	49	0.0
139	2	50	0.0
140	2	51	0.0
141	2	52	0.0
142	2	53	0.0
143	2	54	0.0
144	2	55	0.0
145	2	56	0.0
146	2	76	0.0
147	2	77	0.0
148	2	78	0.0
149	2	79	0.0
150	2	80	0.0
151	2	81	0.0
152	2	82	0.0
153	2	83	0.0
154	2	84	0.0
155	2	85	0.0
156	2	86	0.0
157	2	87	0.0
158	2	88	0.0
159	2	89	0.0
160	2	90	0.0
161	2	92	0.0
162	3	7	0.0
163	3	8	0.0
164	3	9	0.0
165	3	10	0.0
166	3	16	0.0
167	3	18	0.0
168	3	19	0.0
169	3	20	0.0
170	3	21	0.0
171	3	23	0.0
172	3	24	0.0
173	3	25	0.0
174	3	39	0.0
175	3	40	0.0
176	3	41	0.0
177	3	45	0.0
178	3	46	0.0
179	3	47	0.0
180	3	48	0.0
181	3	49	0.0
182	3	50	0.0
183	3	51	0.0
184	3	52	0.0
185	3	53	0.0
186	3	76	0.0
187	3	77	0.0
188	3	78	0.0
189	3	79	0.0
190	3	80	0.0
191	3	81	0.0
192	3	82	0.0
193	3	83	0.0
194	3	84	0.0
195	3	85	0.0
196	3	86	0.0
197	3	87	0.0
198	3	88	0.0
199	3	89	0.0
200	3	90	0.0
201	3	91	0.0
202	3	92	0.0
203	4	7	0.0
204	4	8	0.0
205	4	9	0.0
206	4	10	0.0
207	4	19	0.0
208	4	20	0.0
209	4	21	0.0
210	4	22	0.0
211	4	23	0.0
212	4	24	0.0
213	4	25	0.0
214	4	26	0.0
215	4	27	0.0
216	4	28	0.0
217	4	36	0.0
218	4	37	0.0
219	4	38	0.0
220	4	39	0.0
221	4	40	0.0
222	4	41	0.0
223	4	45	0.0
224	4	46	0.0
225	4	47	0.0
226	4	48	0.0
227	4	49	0.0
228	4	50	0.0
229	4	51	0.0
230	4	52	0.0
231	4	53	0.0
232	4	76	0.0
233	4	77	0.0
234	4	78	0.0
235	4	79	0.0
236	4	80	0.0
237	4	89	0.0
238	4	90	0.0
239	4	91	0.0
240	4	92	0.0
241	5	7	0.0
242	5	8	0.0
243	5	9	0.0
244	5	10	0.0
245	5	11	0.0
246	5	19	0.0
247	5	20	0.0
248	5	21	0.0
249	5	22	0.0
250	5	23	0.0
251	5	24	0.0
252	5	25	0.0
253	5	26	0.0
254	5	27	0.0
255	5	28	0.0
256	5	36	0.0
257	5	37	0.0
258	5	38	0.0
259	5	45	0.0
260	5	46	0.0
261	5	47	0.0
262	5	48	0.0
263	5	49	0.0
264	5	50	0.0
265	5	51	0.0
266	5	52	0.0
267	5	68	0.0
268	5	76	0.0
269	5	77	0.0
270	5	78	0.0
271	5	79	0.0
272	5	80	0.0
273	6	5	0.0
274	6	7	0.0
275	6	8	0.0
